0,3343/19448,3343/9724,8231/19448,47765/87516,3343/4862
0,35817/202895,71634/202895,48623/115940,1350077/2434740,19986/28985
0,395/2576,395/1288,1059/2576,6179/11592,1683/2576
0,1/6,1/3,5/12,17/32,2/3
0,149/850,149/425,701/1700,2797/5100,287/425
0,2021/13664,2021/6832,1395/3416,21865/40992,16951/27328
0,671/4368,671/2184,5381/13104,3487/6552,671/1092
0,467/2800,467/1400,37847/92400,24949/46200,3452/5775
0,619001/3887730,619001/1943865,3143779/7775460,1045019/1943865,3259151/4443120
0,21987/121550,21987/60775,73291/182325,204043/364650,43974/60775
0,304751/1649340,304751/824670,330941/824670,44573/78540,33883/47124
0,808481/5057976,808481/2528988,2112431/5057976,675845/1264494,7170407/10115952
0,787/4488,787/2244,226/561,205/374,787/1122
0,5087/28050,5087/14025,11269/28050,10479/18700,39319/56100
0,365107/2356200,365107/1178100,996439/2356200,208519/392700,6283967/9424800
0,176419/1099560,176419/549780,458893/1099560,9819/18326,176419/274890
0,12001747/70843080,12001747/35421540,29310889/70843080,1597699/2951795,5451748/8855385
0,5909/36960,5909/18480,15053/36960,6579/12320,15149/18480
0,3217/20160,3217/10080,8209/20160,3587/6720,3217/5040
0,8807/52920,8807/26460,21629/52920,2353/4410,7933/13230
0,8497/54600,8497/27300,7433/18200,14383/27300,12641/18200
0,29/176,29/88,1439/3960,57/110,589/792
0,4237/25800,4237/12900,4787/12900,1123/2150,4787/6450
0,11371/71400,11371/35700,19123/47600,6393/11900,5989/8160
0,6459/40600,6459/20300,48359/121800,2729/5075,109259/121800
0,3217/20160,3217/10080,8209/20160,3587/6720,8209/10080
0,5909/36960,5909/18480,15053/36960,6579/12320,49843/73920
0,4069/25410,4069/12705,40057/101640,9033/16940,30059/33880
0,4037/25200,4037/12600,347/840,1117/2100,347/420
0,6749/42560,6749/21280,9119/21280,2839/5320,17243/21280
0,4831/29400,4831/14700,5441/14700,1279/2450,3729/4900
0,2903/17760,2903/8880,1131/2960,391/740,1131/1480
0,2419/15120,2419/7560,3139/7560,671/1260,1931/2520
0,81763/509040,81763/254520,411877/1018080,45019/84840,333293/509040
0,61/420,61/210,149/420,1/2,181/336
0,61/420,61/210,149/420,1/2,1019/1680
0,73/504,73/252,179/504,1/2,577/1008
0,11/80,11/40,29/80,1/2,127/192
0,73/504,73/252,179/504,1/2,325/504
0,61/420,61/210,149/420,1/2,481/840
0,61/420,61/210,149/420,1/2,1199/1680
0,113/792,113/396,283/792,1/2,1075/1584
0,13/90,13/45,16/45,1/2,427/720
0,61/420,61/210,149/420,1/2,3/4
0,149/1020,149/510,361/1020,1/2,74/85
0,53/360,53/180,127/360,1/2,3/4
0,149/1020,149/510,361/1020,1/2,107/170
0,279/2128,279/1064,785/2128,1/2,4653/8512
0,83/616,83/308,225/616,1/2,83/154
0,631/4200,631/2100,1469/4200,1/2,284/525
0,643/4620,643/2310,1667/4620,1/2,11149/18480
0,193/1260,193/630,437/1260,1/2,193/315
0,425/2688,425/1344,919/2688,1/2,541/896
0,337/2520,337/1260,923/2520,1/2,2857/5040
0,1/7,2/7,5/14,1/2,4/7
0,253/1638,253/819,283/819,1/2,1891/3276
0,73/528,73/264,191/528,1/2,629/1056
0,73/504,73/252,179/504,1/2,73/126
0,73/480,73/240,167/480,1/2,133/240
0,11/80,11/40,29/80,1/2,199/320
0,61/420,61/210,149/420,1/2,83/105
0,149/1020,149/510,361/1020,1/2,341/510
0,191/1248,191/624,433/1248,1/2,113/156
0,73/504,73/252,179/504,1/2,179/252
0,11/80,11/40,29/80,1/2,673/960
0,61/420,61/210,149/420,1/2,359/420
0,61/420,61/210,149/420,1/2,127/210
0,197/1632,197/816,227/816,237/544,1735/3264
0,13/120,13/60,1/4,47/120,1/2
0,161/1800,161/900,743/3600,97/300,31/75
0,197/1632,197/816,227/816,237/544,641/1088
0,151/1380,151/690,697/2760,91/230,1531/2760
0,133/1242,133/621,613/2484,80/207,781/1656
0,1/9,2/9,199/720,33/80,901/1440
0,13/120,13/60,1/4,47/120,73/120
0,271/2538,271/1269,1249/5076,163/423,2521/5076
0,29/240,29/120,67/240,209/480,1303/1920
0,13/120,13/60,61/240,63/160,301/480
0,317/2970,317/1485,1469/5940,191/495,12041/23760
0,133/1242,133/621,613/2484,80/207,287/414
0,307/2862,307/1431,1411/5724,184/477,179/212
0,11/100,11/50,151/600,59/150,209/300
0,307/2862,307/1431,1411/5724,184/477,1033/1908
0,2053/17360,2053/8680,1777/6510,22273/52080,9353/17360
0,3103/23128,3103/11564,6967/23128,10831/23128,3103/5782
0,215/1512,215/756,5141/16632,377/792,4475/8316
0,51/520,51/260,119/520,187/520,1/2
0,1/8,1/4,7/24,11/24,1/2
0,27/200,27/100,181/600,281/600,1/2
0,35/432,35/216,245/1296,385/1296,67/162
0,99/1000,99/500,231/1000,363/1000,99/250
0,499/4464,499/2232,1115/4464,577/1488,77/186
0,67/546,67/273,3079/10920,803/1820,12751/21840
0,1277/8610,1277/4305,2719/8610,1387/2870,2554/4305
0,508/3339,1016/3339,4265/13356,361/742,5267/8904
0,521/4508,521/2254,2393/9016,468/1127,5029/9016
0,1/7,2/7,87/280,67/140,4/7
0,1469/9870,1469/4935,3121/9870,1591/3290,11339/19740
0,159/1505,318/1505,2987/12040,2351/6020,2353/4816
0,74/637,148/637,1355/5096,1059/2548,296/637
0,97/756,97/378,2129/7560,137/315,1823/3780
0,97/984,97/492,923/3936,243/656,1957/3936
0,151/1380,151/690,697/2760,91/230,151/345
