0,211/592,10529/24864,4313/6216,10529/12432,11867/12432,48061/49728
0,97/272,8063/19040,3303/4760,8063/9520,27287/28560,55847/57120
0,211/592,10529/24864,4313/6216,10529/12432,11867/12432,49135/49728
0,386/1071,9077/21420,3722/5355,9077/10710,41399/42840,84239/85680
0,1/3,127/270,2/3,739/1080,379/540,259/360
0,1/3,311/675,2/3,929/1350,479/675,2111/2700
0,1/3,181/390,2/3,179/260,277/390,571/780
0,1/3,169/360,2/3,253/360,259/360,607/720
0,1/3,83/180,2/3,31/45,32/45,5/6
0,1/3,286/621,2/3,95/138,49/69,959/1242
0,1/3,203/432,2/3,37/54,311/432,23/27
0,1/3,37/80,2/3,83/120,57/80,203/240
0,1/3,112/243,2/3,335/486,518/729,4543/5832
0,1/3,137/297,2/3,409/594,211/297,254/297
0,1/3,386/837,2/3,1153/1674,595/837,1033/1116
0,1/3,139/300,2/3,69/100,107/150,257/300
0,1/3,386/837,2/3,1153/1674,595/837,2629/3348
0,1/3,641/1656,2/3,2239/3312,1135/1656,37/46
0,1/3,503/1260,2/3,1709/2520,869/1260,503/630
0,1/3,867/1892,2/3,7807/11352,1341/1892,4501/5676
0,1/3,5909/14616,2/3,20035/29232,10147/14616,1021/1218
0,1/3,4759/11340,2/3,15637/22680,2647/3780,4759/5670
0,1/3,15613/34020,2/3,9515/13608,6079/8505,19093/22680
0,1/3,263/660,2/3,179/264,91/132,5/6
0,1/3,5/12,2/3,109/160,167/240,5/6
0,1/3,115/252,2/3,1733/2520,893/1260,5/6
0,1/3,2479/5412,2/3,7445/10824,1279/1804,2125/2706
0,1/3,205/504,2/3,341/504,701/1008,425/504
0,1/3,577/1365,2/3,1853/2730,7663/10920,1154/1365
0,1/3,697/1512,2/3,689/1008,3247/4536,857/1008
0,1/3,253/630,2/3,214/315,1741/2520,529/630
0,1/3,1343/3192,2/3,545/798,8909/12768,1343/1596
0,1/3,743/1617,2/3,1487/2156,27571/38808,3643/4312
0,1/3,30/77,2/3,1877/2772,7613/11088,17/21
0,1/3,169/420,2/3,1427/2100,2903/4200,169/210
0,1/3,4673/10164,2/3,1167/1694,14431/20328,16109/20328
0,1/3,95/216,2/3,37/54,19/27,203/216
0,1/3,51/110,2/3,91/132,47/66,51/55
0,1/3,241/504,2/3,697/1008,361/504,281/336
0,1/3,1123/2604,2/3,16021/23436,8209/11718,5393/5859
0,1/3,271/588,2/3,135/196,209/294,271/294
0,1/3,9167/19320,2/3,445/644,691/966,17431/19320
0,1/3,17/42,2/3,1427/2100,727/1050,1777/2100
0,1/3,1285/3024,2/3,1033/1512,529/756,1285/1512
0,1/3,2447/5292,2/3,304/441,314/441,755/882
0,1/3,593/1512,2/3,128/189,130/189,22/27
0,1/3,1079/2660,2/3,452/665,1382/1995,1079/1330
0,1/3,6679/14476,2/3,4985/7238,7717/10857,11573/14476
0,1/3,160/357,2/3,145/204,179/238,1133/1428
0,1/3,93/196,2/3,71/98,229/294,499/588
