0,10739/31872,1451/3984,455/996,10739/15936,5435/7968,1451/1992
0,6785/19776,3067/7416,437/927,6785/9888,10483/14832,682/927
0,3226/9513,853/2114,5737/12684,6452/9513,2967/4228,24130/28539
0,6964/20433,17351/40866,37847/81732,13928/20433,58217/81732,17351/20433
0,35131/102480,2876/6405,4867/10248,35131/51240,9281/12810,14571/17080
0,2207/6468,213/539,965/2156,2207/3234,376/539,5441/6468
0,275/798,337/798,184/399,275/399,1135/1596,337/399
0,545/1568,1051/2352,2227/4704,545/784,3403/4704,1329/1568
0,2074/6111,13957/36666,32311/73332,4148/6111,50623/73332,14678/18333
0,4264/12495,659/1666,7467/16660,8528/12495,2325/3332,659/833
0,13329/38500,1679/3850,18027/38500,13329/19250,5529/7700,183511/231000
0,1087/3192,157/399,179/399,1087/1596,278/399,713/798
0,399/1160,184/435,403/870,399/580,619/870,368/435
0,1429/4116,461/1029,977/2058,1429/2058,745/1029,1667/2058
0,6955/20328,1033/2541,769/1694,6955/10164,1787/2541,9223/10164
0,15115/43512,2452/5439,2591/5439,15115/21756,7891/10878,4904/5439
0,37721/108108,107/231,1448/3003,37721/54054,169/231,10757/12012
0,5164/15141,6053/15141,13655/30282,10328/15141,10597/15141,12869/15141
0,94/273,3/7,212/455,188/273,5/7,6/7
0,5581/16072,2722/6027,2873/6027,5581/8036,8749/12054,20803/24108
0,19/56,83/216,335/756,19/28,299/432,407/504
0,2507/7350,2941/7350,6637/14700,2507/3675,10291/14700,2941/3675
0,2025/5852,3853/8778,16505/35112,2025/2926,12631/17556,28241/35112
0,5029/14868,11077/29736,643/1652,5029/7434,40813/59472,12029/14868
0,1259/3710,1699/4452,895/2226,1259/1855,6151/8904,895/1113
0,3919/11396,14303/34188,7855/17094,3919/5698,48491/68376,18219/22792
0,937/2772,2165/5544,161/396,937/1386,7709/11088,779/924
0,337/994,4007/9940,6301/14910,337/497,13947/19880,6301/7455
0,20809/60984,39421/91476,1915/4158,20809/30492,130897/182952,77743/91476
0,19/56,8/21,337/840,19/28,29/42,47/56
0,179/525,221/560,883/2100,358/525,781/1120,883/1050
0,7685/22344,4681/11172,2561/5586,7685/11172,15853/22344,18857/22344
0,227/660,129/308,1061/2310,227/330,437/616,19/24
0,197/576,13/32,253/576,197/288,45/64,541/576
0,399/1160,184/435,403/870,399/580,619/870,403/435
0,1823/5280,19/44,631/1320,1823/2640,63/88,2207/2640
0,7057/20664,3104/7749,13361/30996,7057/10332,10853/15498,7132/7749
0,29531/85848,4520/10731,19781/42924,29531/42924,15251/21462,19781/21462
0,10721/31080,334/777,4913/10360,10721/15540,1111/1554,28043/31080
0,1259/3710,2137/5565,3001/7420,1259/1855,3851/5565,4708/5565
0,2693/7896,787/1974,6709/15792,2693/3948,2761/3948,6709/7896
0,34367/99960,5282/12495,23081/49980,34367/49980,17777/24990,42767/49980
0,341/1008,3/8,395/1008,341/504,11/16,821/1008
0,297/875,202/525,1419/3500,594/875,727/1050,1419/1750
0,6037/17556,1847/4389,8095/17556,6037/8778,3118/4389,14027/17556
0,11407/32760,75149/180180,67/143,11407/16380,25931/32760,42217/51480
0,26737/76440,8347/19110,932/1911,26737/38220,20847/25480,53797/61152
0,781/2240,961/2240,917/1920,781/1120,10859/13440,1901/2240
0,8053/23100,451/1050,1654/3465,8053/11550,55997/69300,125297/138600
0,27091/77700,16697/38850,3973/8325,27091/38850,188323/233100,887119/932400
0,21101/60480,3253/7560,413/864,21101/30240,48883/60480,109363/120960
0,27091/77700,16697/38850,3973/8325,27091/38850,188323/233100,266191/310800
0,4169/12075,6431/16100,43291/96600,8338/12075,14947/19320,79433/96600
0,34511/99680,61081/149520,9097/19936,34511/49840,78203/99680,61081/74760
0,125711/360360,38561/90090,16895/36036,125711/180180,287503/360360,295753/360360
0,272759/781704,10015387/23451120,1115671/2345112,272759/390852,9433187/11725560,259048/293139
0,12013/34320,54493/123552,206405/432432,12013/17160,351161/432432,54493/61776
0,207643/591360,80975/177408,171439/354816,207643/295680,292027/354816,156901/177408
0,8917/25760,3943/9660,587/1288,8917/12880,5049/6440,21797/25760
0,241/693,1175/2772,289/616,482/693,1483/1848,1175/1386
0,783/2240,1195/2688,3209/6720,783/1120,2195/2688,1903/2240
0,3797/10920,761/1820,199/420,3797/5460,1249/1560,1671/1820
0,8593/24640,481/1120,221/462,8593/12320,59777/73920,481/560
0,27/77,2047/4620,373/770,54/77,251/308,7859/9240
0,53113/152152,2947283/6846840,81590/171171,53113/76076,788933/978120,3218477/3423420
0,10889/30888,43141/92664,28258/57915,10889/15444,383693/463320,43141/46332
0,16866/47795,325159/688248,42176/86031,33732/47795,286757/344124,1280803/1376496
0,15069/43120,1004051/2328480,13879/29106,15069/21560,469253/582120,1051373/1164240
0,23581/66990,73163/160776,38935/80388,23581/33495,32969/40194,73163/80388
0,8377/23760,6643/14256,773/1584,8377/11880,5905/7128,13033/14256
0,202525/581196,7359227/17435880,206564/435897,202525/290598,3490901/4358970,7605539/8717940
0,24083/68915,25687747/59542560,50717/106326,48166/68915,12005551/14885640,25687747/29771280
0,1296013/3691380,1984307/4429656,382753/791010,1296013/1845690,9044909/11074140,1094417/1265616
0,2370503/6955767,21065815/55646136,1860995/4637178,4741006/6955767,784855/1070118,11433965/13911534
0,26001/76076,42545/110656,374525/912912,26001/38038,677549/912912,374525/456456
0,289095871/833239680,343502779/833239680,19051577/41661984,289095871/416619840,50220131/64095360,230064579/277746560
0,37345510877/108764335680,671931472/1699442745,1876100683/4409364960,37345510877/54382167840,2377467577/3137432760,70409332171/81573251760
0,939399481/2729606880,11380749/28433405,1771827163/4094410320,939399481/1364803440,60230941/78738660,1771827163/2047205160
0,608165211/1749748000,138710597/328077750,3670492603/7873866000,608165211/874874000,392512606/492116625,6884803091/7873866000
0,43135/126217,3104721/8077888,1242071/3029208,86270/126217,43223/58254,212487/252434
0,8896/25935,569243/1452360,43727/103740,17792/25935,2805/3724,43727/51870
