0,261/700,79/150,292/525,439/700
0,73/220,328/605,8557/14520,10541/14520
0,113/315,683/1260,71/120,226/315
0,121/320,103/192,139/240,231/320
0,143/460,371/690,40/69,603/920
0,1/3,11/20,73/120,2/3
0,71/190,307/570,166/285,261/380
0,931/2655,4241/7965,12827/21240,6236/7965
0,1201/3100,811/1550,3603/6200,1201/1550
0,49/120,109/210,317/560,647/840
0,1558/4515,2452/4515,21481/36120,6967/9030
0,643/1680,223/420,643/1120,643/840
0,41/100,131/250,557/1000,381/500
0,2791/8400,2297/4200,5039/8400,6047/8400
0,617/1785,968/1785,8459/14280,1234/1785
0,413/1080,115/216,77/135,73/108
0,223/672,367/672,401/672,559/672
0,7/20,27/50,44/75,7/10
0,463/1224,163/306,349/612,203/306
0,379/1080,806/1485,872/1485,2597/2970
0,83/200,131/250,69/125,83/100
0,1001/2320,226/435,943/1740,473/580
0,3823/10920,106/195,268/455,723/910
0,1441/3680,61/115,521/920,1441/1840
0,2249/5400,707/1350,124/225,349/450
0,5233/15600,1067/1950,4651/7800,147/200
0,883/2520,683/1260,247/420,883/1260
0,2917/7560,503/945,536/945,1291/1890
0,3563/10560,739/1320,3743/5280,179/240
0,4547/13400,5431/10050,1228/1675,16457/20100
0,1709/5040,139/252,913/1260,391/504
0,2909/8580,1184/2145,3119/4290,7409/8580
0,1789/5280,5837/10560,7681/10560,9829/10560
0,4637/13680,473/855,2491/3420,5911/6840
0,1789/5280,5837/10560,7681/10560,701/880
0,407/1116,629/1116,1523/2232,205/279
0,43/108,115/216,151/216,349/432
0,101/264,73/132,365/528,205/264
0,106/273,151/273,379/546,925/1092
0,30/77,128/231,107/154,1703/1848
0,47/120,133/240,167/240,407/480
0,30/77,128/231,107/154,1429/1848
0,15689/44520,6329/11130,60209/89040,593/795
0,1523/4200,59/105,5723/8400,1523/2100
0,3629/9360,1289/2340,12989/18720,569/780
0,59887/159040,32603/59640,218927/318080,96673/119280
0,26799/65800,4447/8225,92599/131600,26799/32900
0,50483/115640,7634/14455,166123/231280,94211/115640
0,2383/6600,464/825,8983/13200,1289/1650
0,201/520,71/130,721/1040,201/260
0,67/160,8/15,227/320,23/30
0,145/396,223/396,541/792,343/396
0,121/312,43/78,433/624,121/156
0,106/255,55/102,361/510,157/204
0,2977/7728,4297/7728,10705/15456,7025/7728
0,629/1400,183/350,2029/2800,629/700
0,178/385,239/462,563/770,8257/9240
0,443/1155,643/1155,799/1155,977/1155
0,3/7,67/126,5/7,6/7
0,733/1624,106/203,2357/3248,5605/6496
0,18/49,83/147,67/98,116/147
0,202/525,97/175,727/1050,404/525
0,62/147,79/147,209/294,307/392
0,2063/6020,803/1505,1154/1505,711/860
0,817/2380,317/595,456/595,1051/1190
0,2063/6020,803/1505,1154/1505,5659/6020
0,713/2080,139/260,399/520,919/1040
0,157/450,53/90,569/675,1591/1800
0,22/63,53/90,319/378,697/756
0,157/450,53/90,569/675,5179/5400
0,907/2520,53/90,2189/2520,4709/5040
0,295/684,91/171,847/1368,229/342
0,284/735,407/735,1921/2940,2167/2940
0,106/255,55/102,659/1020,361/510
0,29/70,443/840,187/280,671/840
0,16/39,211/390,101/156,601/780
0,713/1776,971/1776,2249/3552,2507/3552
0,56/135,73/135,35/54,89/108
0,146/351,190/351,35/54,2555/2808
0,5/12,13/24,13/20,33/40
0,146/351,190/351,35/54,691/936
0,2143/5940,838/1485,1427/2160,4471/5940
0,311/840,67/120,369/560,311/420
0,379/945,2059/3780,9839/15120,401/540
0,27571/72380,29462/54285,192433/289520,174281/217140
0,449/1120,43/80,85/128,449/560
0,28449/66220,8721/16555,176157/264880,105851/132440
0,421/1140,743/1330,369/560,2073/2660
0,503/1300,178/325,787/1200,503/650
0,2777/6580,877/1645,2429/3760,1261/1645
0,7157/17400,4699/8700,44203/69600,3121/4350
0,65/168,31/56,55/84,149/168
0,31/75,27/50,13/20,62/75
0,65/147,155/294,9/14,449/588
0,1382/3465,272/495,3029/4620,3104/3465
0,108/245,388/735,1909/2940,216/245
0,1292/2835,4432/8505,1217/1890,58901/68040
0,1523/3920,3259/5880,162/245,407/490
0,871/2100,3401/6300,346/525,871/1050
0,1733/3920,6203/11760,1909/2940,4849/5880
0,6736/17955,10072/17955,626/945,14207/17955
0,286/735,271/490,162/245,572/735
0,499/1155,1231/2310,499/770,20957/27720
0,589/2088,277/522,2467/4176,1289/2088
0,433/1485,802/1485,3653/5940,1052/1485
0,217/750,403/750,367/600,967/1500
0,53/182,575/1092,57/91,3443/4368
0,22/75,27/50,371/600,77/100
0,134/459,248/459,377/612,2549/3672
0,55/189,34/63,155/252,407/504
0,416/1431,773/1431,3523/5724,20647/22896
0,139/480,259/480,37/60,97/120
0,416/1431,773/1431,3523/5724,5447/7632
0,61/210,113/210,61/105,517/840
0,167/546,151/273,167/273,521/728
0,247/816,28/51,247/408,1063/1632
0,11/35,227/420,22/35,83/105
0,163/528,73/132,163/264,205/264
0,451/1470,407/735,451/735,205/294
0,167/546,151/273,167/273,220/273
0,373/1218,338/609,373/609,2197/2436
0,59/192,107/192,59/96,155/192
0,373/1218,338/609,373/609,577/812
0,31/75,27/50,44/75,13/20
0,407/1116,629/1116,709/1116,205/279
0,121/312,43/78,191/312,433/624
0,13/35,227/420,22/35,83/105
0,101/264,73/132,163/264,205/264
0,89/231,128/231,142/231,323/462
0,89/231,128/231,142/231,373/462
0,73/189,5/9,116/189,227/252
0,37/96,107/192,59/96,155/192
0,73/189,5/9,116/189,77/108
0,59/168,239/420,109/168,313/420
0,2383/6600,464/825,4217/6600,2383/3300
0,3629/9360,1289/2340,5731/9360,851/1170
0,4769/13160,2678/4935,8391/13160,7831/9870
0,1441/3680,61/115,2239/3680,1441/1840
0,2249/5400,707/1350,3151/5400,349/450
0,6683/18600,1309/2325,11917/18600,1817/2325
0,201/520,71/130,319/520,201/260
0,1147/2720,181/340,1573/2720,521/680
